CD_NOM,GROUPTAXA,NOM_VALIDE
188769,Angiospermes,Acorus
80086,Angiospermes,Acorus calamus
188962,Angiospermes,Alisma
81260,Angiospermes,Alisma gramineum
81280,Angiospermes,Alisma x rhicnocarpum
81263,Angiospermes,Alisma lanceolatum
81272,Angiospermes,Alisma plantago-aquatica
189723,Angiospermes,Baldellia
85486,Angiospermes,Baldellia ranunculoides
718909,Angiospermes,Baldellia repens
718211,Angiospermes,Baldellia repens subsp. cavanillesii
190177,Angiospermes,Caldesia
87417,Angiospermes,Caldesia parnassifolia
923783,Angiospermes,Damasonium
94388,Angiospermes,Damasonium alisma
94389,Angiospermes,Damasonium bourgaei
94392,Angiospermes,Damasonium polyspermum
631035,Angiospermes,Helanthium zombiense
194317,Angiospermes,Luronium
106807,Angiospermes,Luronium natans
197322,Angiospermes,Sagittaria
119850,Angiospermes,Sagittaria graminea
159961,Angiospermes,Sagittaria lancifolia
119854,Angiospermes,Sagittaria latifolia
119860,Angiospermes,Sagittaria sagittifolia
189349,Angiospermes,Aponogeton
83232,Angiospermes,Aponogeton distachyos
189500,Angiospermes,Arum
84100,Angiospermes,Arum cylindraceum
611708,Angiospermes,Arum italicum var. neglectum x Arum maculatum
611707,Angiospermes,Arum italicum x Arum maculatum
84110,Angiospermes,Arum italicum
84131,Angiospermes,Arum x sooi
84112,Angiospermes,Arum maculatum
84120,Angiospermes,Arum pictum
162005,Angiospermes,Arum pictum subsp. pictum
191946,Angiospermes,Dracunculus
95425,Angiospermes,Dracunculus vulgaris
193139,Angiospermes,Helicodiceros
101107,Angiospermes,Helicodiceros muscivorus
189038,Angiospermes,Ambrosina
82095,Angiospermes,Ambrosina bassii
923602,Angiospermes,Arisarum
83755,Angiospermes,Arisarum vulgare
731620,Angiospermes,Xanthosoma conspurcatum
911678,Angiospermes,Xanthosoma cremersii
731622,Angiospermes,Xanthosoma granvillei
911681,Angiospermes,Xanthosoma muluwataya
911248,Angiospermes,Xanthosoma nodosum
911679,Angiospermes,Xanthosoma sinnamaryense
911680,Angiospermes,Xanthosoma trinitense
190187,Angiospermes,Calla
87450,Angiospermes,Calla palustris
704721,Angiospermes,Colocasia
447722,Angiospermes,Colocasia esculenta
911254,Angiospermes,Philodendron carinatum
731583,Angiospermes,Philodendron cremersii
630376,Angiospermes,Philodendron dussii
911252,Angiospermes,Philodendron grenandii
731592,Angiospermes,Philodendron houlletianum
911251,Angiospermes,Philodendron moonenii
779239,Angiospermes,Philodendron scottmorianum
911250,Angiospermes,Philodendron ushanum
911249,Angiospermes,Philodendron werkhoveniae
838925,Angiospermes,Philonotion
