"TRIGRAMME","NOM_VALIDE","CD_NOM","STATUT_FR"
"PlaHae","Plantae Haeckel, 1866",187079,"P"
"Bil","Biliphyta",524113,"P"
"ChaCav","Charophyta Caval.-Sm.",524720,"P"
"ChaRab","Charophyceae Rabenh., 1863",187102,"P"
"ChaDum","Charales Dumort., 1829",187103,"P"
"Characeae","Characeae Gray, 1821",187104,"P"
"Chareae","Chareae",835328,"P"
"Chara","Chara L., 1753",190639,"P"
"Chaacu","Chara aculeolata Kütz., 1843",73532,"P"
"Chaaspasp","Chara aspera f. asperula Thur.",73534,"P"
"Chaaspmar","Chara aspera var. marina Migula",73538,"P"
"Chaasp","Chara aspera Willd., 1809",73533,"P"
"Chaaspcap","Chara asperula var. capillata A. Braun",73540,"P"
"Chabal","Chara baltica A.Bruzelius, 1824",73541,"P"
"Chabra","Chara braunii C.C.Gmelin, 1826",73542,"P"
"Chacanspi","Chara canescens var. spinossissima Migula",73544,"P"
"Chacan","Chara canescens Loiseleur, 1810",73543,"P"
"Chachr","Chara chrysospora J.Groves & Stephens, 1926",931970,"P"
"Chacon","Chara connivens P.Salzmann ex A.Braun, 1835",73545,"P"
"Chacon2","Chara contraria A.Braun ex Kütz., 1845",73546,"P"
"Chacur","Chara curta E.F.Nolte ex Kütz., 1857",627575,"P"
"Chaden","Chara denudata A.Braun, 1843",792914,"P"
"Chafib","Chara fibrosa C.Agardh ex Bruzelius, 1824",931971,"P"
"Chafibben","Chara fibrosa subsp. benthamii (A.Braun) Zaneveld, 1940",931972,"P"
"Chafol","Chara foliolosa Mühl. ex Willd., 1805",670172,"P"
"Chafra","Chara fragifera Durieu, 1859",73555,"P"
"Chagal","Chara galioides A.P.De Candolle, 1813",73557,"P"
"Chaglo","Chara globularis J.L.Thuiller, 1799",73558,"P"
"Chahis","Chara hispida L., 1753",73560,"P"
"Chahor","Chara horrida Wahlst., 1862",852027,"P"
"Chaimp","Chara imperfecta A.Braun, 1850",648707,"P"
"Chamus","Chara muscosa J.Groves & Bull.-Webst., 1924",648708,"P"
"Chapap","Chara papillosa Kütz., 1834",931974,"P"
"Chasab","Chara sabauda Hy, 1913",850829,"P"
"Chastr","Chara strigosa A.Braun, 1847",648710,"P"
"Chastrlon","Chara strigosa var. longispina A.Braun",932015,"P"
"Chasub","Chara subspinosa Rupr., 1846",931975,"P"
"Chatom","Chara tomentosa L., 1753",648711,"P"
"Chavir","Chara virgata Kütz., 1834",627092,"P"
"Chavul","Chara vulgaris L., 1753",73574,"P"
