TRIGRAMME,NOM_VALIDE,CD_NOM
PlaHae,"Plantae Haeckel, 1866","187079"
Bil,Biliphyta ,"524113"
ChaCav,Charophyta Caval.-Sm.,"524720"
ChaRab,"Charophyceae Rabenh., 1863","187102"
ChaDum,"Charales Dumort., 1829","187103"
ChaGra,"Characeae Gray, 1821","187104"
Cha,Chareae ,"835328"
"ChaL.,","Chara L., 1753","190639"
Chaacu,"Chara aculeolata Kütz., 1843","73532"
Chaaspasp,Chara aspera f. asperula Thur.,"73534"
Chaaspmar,Chara aspera var. marina Migula,"73538"
Chaasp,"Chara aspera Willd., 1809","73533"
Chaaspcap,Chara asperula var. capillata A. Braun,"73540"
Chabal,"Chara baltica A.Bruzelius, 1824","73541"
Chabra,"Chara braunii C.C.Gmelin, 1826","73542"
Chacanspi,Chara canescens var. spinossissima Migula,"73544"
Chacan,"Chara canescens Loiseleur, 1810","73543"
Chachr,"Chara chrysospora J.Groves & Stephens, 1926","931970"
Chacon,"Chara connivens P.Salzmann ex A.Braun, 1835","73545"
Chacon2,"Chara contraria A.Braun ex Kütz., 1845","73546"
Chacur,"Chara curta E.F.Nolte ex Kütz., 1857","627575"
Chaden,"Chara denudata A.Braun, 1843","792914"
Chafib,"Chara fibrosa C.Agardh ex Bruzelius, 1824","931971"
Chafibben,"Chara fibrosa subsp. benthamii (A.Braun) Zaneveld, 1940","931972"
Chafol,"Chara foliolosa Mühl. ex Willd., 1805","670172"
Chafra,"Chara fragifera Durieu, 1859","73555"
Chagal,"Chara galioides A.P.De Candolle, 1813","73557"
Chaglo,"Chara globularis J.L.Thuiller, 1799","73558"
Chahis,"Chara hispida L., 1753","73560"
Chahor,"Chara horrida Wahlst., 1862","852027"
Chaimp,"Chara imperfecta A.Braun, 1850","648707"
Chamus,"Chara muscosa J.Groves & Bull.-Webst., 1924","648708"
Chapap,"Chara papillosa Kütz., 1834","931974"
Chasab,"Chara sabauda Hy, 1913","850829"
Chastr,"Chara strigosa A.Braun, 1847","648710"
Chastrlon,Chara strigosa var. longispina A.Braun,"932015"
Chasub,"Chara subspinosa Rupr., 1846","931975"
Chatom,"Chara tomentosa L., 1753","648711"
Chavir,"Chara virgata Kütz., 1834","627092"
Chavul,"Chara vulgaris L., 1753","73574"
Chavulsub,"Chara vulgaris f. subhispida Mig., 1897","931968"
Chavulcra,"Chara vulgaris var. crassicaulis (Schleich. ex A.Braun) Kütz., 1849","73576"
Chavulgym,"Chara vulgaris var. gymnophylla (A.Braun) C.F.Nyman, 1884","676656"
Chavullon,"Chara vulgaris var. longibracteata (Kütz.) J.Groves & Bullock-Webster, 1924","73577"
Chavuloed,"Chara vulgaris var. oedophylla (G.Feldmann) R.D.Wood, 1962","932697"
LamJ.G,"Lamprothamnium J.Groves, 1916","193838"
Lampap,"Lamprothamnium papulosum (K.Wallroth) J.Groves, 1916","73093"
Lampapara,"Lamprothamnium papulosum f. aragonense (Reyes-Prósper) R.D.Wood, 1962","627630"
Lampappou,"Lamprothamnium papulosum f. pouzolsii (J.Gay ex A.Braun) R.D.Wood, 1962","650791"
Lampaphan,"Lamprothamnium papulosum var. hansenii (C. Sonder) J.C. van Raam, 2010","627620"
Lampaptol,"Lamprothamnium papulosum var. toletanum (Prósper) R.D.Wood, 1962","627619"
Lyc(Ru,"Lychnothamnus (Rupr.) A.Braun, 1856","650843"
Lycbar,"Lychnothamnus barbatus (L.Meyen) Leonh., 1863","650844"
Lycbarspi,"Lychnothamnus barbatus f. spinosus (G.B.Amici) R.D.Wood, 1965","650846"
NitC.A,"Nitella C.Agardh, 1824","195232"
Nitcap,"Nitella capillaris (A.J.Krocker) J.Groves & Bull.-Webst., 1920","74335"
Nitche,"Nitella chevallierii Hy, 1892","74337"
Nitcon,"Nitella confervacea (Bréb.) A.Braun ex Leonh., 1863","74338"
Nitfle,"Nitella flexilis (L.) C.Agardh, 1824","74339"
Nitgra,"Nitella gracilis (Sm.) C.Agardh, 1824","627577"
Nitgramot,"Nitella gracilis f. motelayana Hy, 1913","931986"
Nithya,"Nitella hyalina (DC.) C.Agardh, 1824","627574"
Nithyamax,"Nitella hyalina f. maxima A.Braun ex Migula, 1897","627655"
Nitmuc,"Nitella mucronata (A.Braun) Miq., 1840","627578"
Nitmuchet,"Nitella mucronata f. heteromorpha A.Braun, 1847","694614"
Nitmucten,"Nitella mucronata f. tenuior (A.Braun) Feldmann, 1946","694611"
Nitmucbra,"Nitella mucronata var. brachyteles (A.Braun) J.C.van Raam, 2010","627654"
Nitopa,"Nitella opaca (C.Agardh ex Bruzelius) C.Agardh, 1824","74346"
Nitorn,"Nitella ornithopoda A.Braun, 1863","74347"
Nitsyn,"Nitella syncarpa (Thuillier) Chevallier, 1827","932012"
Nitsynthu,Nitella syncarpa var. thuilleri A. Br.,"74350"
Nitten,"Nitella tenuissima (Desv.) Kützing, 1843","627579"
Nittenmin,Nitella tenuissima var. minor A. Br.,"74352"
Nittra,"Nitella translucens (Pers.) C.Agardh, 1824","74353"
"NitHy,","Nitellopsis Hy, 1889","195233"
Nitobt,"Nitellopsis obtusa (Desv.) J.Groves, 1919","74355"
Tol(A.,"Tolypella (A.Braun) A.Braun, 1857","198485"
Tolglo,"Tolypella glomerata (Desv.) Leonh., 1863","75093"
Tolhis,"Tolypella hispanica Nordst. ex T.F.Allen, 1888","75094"
Tolint,"Tolypella intricata (Trentep. ex Roth) Leonh., 1863","75095"
Tolnid,"Tolypella nidifica (O.F.Müll.) Leonh., 1864","627563"
Tolpro,"Tolypella prolifera (Ziz ex A.Braun) Leonh., 1863","75096"
Tolsal,"Tolypella salina R.Corillion, 1960","75097"
Col,Coleochaetophyceae ,"914309"
Col2,Coleochaetales ,"626250"
Col3,Coleochaetaceae ,"626251"
ColBré,"Coleochaete Bréb., 1844","191025"
Collev,"Coleochaete leve (Bailey) Sarma & Chapman, 1975","648840"
Colorb,"Coleochaete orbicularis Pringsheim, 1860","648841"
Colpul,"Coleochaete pulvinata A.Braun, 1849","653400"
Colscu,Coleochaete scutata Breb.,"73755"
Colsol,"Coleochaete soluta (Bréb.) Pringsheim, 1860","648842"
ConEng,Conjugatophyceae Engler,"699647"
Des,Desmidiales ,"646931"
CloBes,"Closteriaceae Bessey, 1907","699646"
CloNit,"Closterium Nitzsch ex Ralfs, 1848","190949"
Cloabr,Closterium abruptum W. West,"73045"
Cloabrmai,"Closterium abruptum var. maius (Huber-Pestalozzi) Willi Krieg. in Rabenh., 1935","648764"
Cloace,"Closterium acerosum Ehrenberg ex Ralfs, 1848","73046"
Cloacebor,"Closterium acerosum var. borgei Krieger, 1935","648767"
Cloaceelo,Closterium acerosum var. elongatum Brebisson,"73047"
Cloacemin,Closterium acerosum var. minus Hantzsch,"73048"
Cloaci,"Closterium aciculare T.West, 1860","625893"
Cloacirob,"Closterium aciculare var. robustius Chodat, 1898","648768"
Cloacu,"Closterium acutum Bréb., 1848","73050"
Cloaculat,"Closterium acutum var. latius Grönblad, 1935","653289"
Cloaculin,"Closterium acutum var. linea (Perty) West & G.S.West, 1900","648772"
Cloacuvar,"Closterium acutum var. variabile (Lemmerm.) Willi Kreiger, 1935","625894"
Cloang,"Closterium angustatum Kütz. ex Ralfs, 1848","73051"
Cloanggra,"Closterium angustatum var. gracilius Croasdale, 1955","648773"
Cloangscu,"Closterium angustatum var. sculptum (Racib.) Ruzicka, 1977","648774"
Cloarc,Closterium archerianum Cleve,"73052"
Cloarccom,"Closterium archerianum var. compressum G.A.Klebs, 1879","648775"
Cloarcpse,"Closterium archerianum var. pseudocynthia Ruzicka, 1973","648776"
Cloatt,Closterium attenuatum Ehrenb.,"73053"
Clobai,"Closterium baillyanum (Bréb. ex Ralfs) Brébisson, 1856","73054"
Clobaialp,Closterium baillyanum var. alpinum (Viret) Gronblad,"73055"
Clobaimul,"Closterium baillyanum var. multinucleatum (Nordst.) Grönblad, 1919","648777"
Clobra,"Closterium braunii Reinsch, 1867","625895"
Clocal,Closterium calosporum Wittr.,"73056"
Clocalbra,"Closterium calosporum var. brasiliense Børgesen, 1890","648780"
