DUP,GROUPTAXA
1,Acanthaceae
2,Achariaceae
3,Acoraceae
4,Actinidiaceae
5,Adelanthaceae
6,Aizoaceae
7,Alismataceae
8,Alseuosmiaceae
9,Alstroemeriaceae
10,Altingiaceae
11,Amaranthaceae
12,Amaryllidaceae
13,Amblystegiaceae
14,Amborellaceae
15,Amphidiaceae
16,Amphorogynaceae
17,Anacardiaceae
18,Anastrophyllaceae
19,Andreaeaceae
20,Aneuraceae
21,Annonaceae
22,Anomodontaceae
23,Antheliaceae
24,Anthocerotaceae
25,Antitrichiaceae
26,Aongstroemiaceae
27,Apiaceae
28,Apocynaceae
29,Aponogetonaceae
30,Aquifoliaceae
31,Araceae
32,Araliaceae
33,Araucariaceae
34,Archidiaceae
35,Arecaceae
36,Argophyllaceae
37,Aristolochiaceae
38,Arnelliaceae
39,Asparagaceae
40,Asphodelaceae
41,Aspleniaceae
42,Asteliaceae
43,Asteraceae
44,Atherospermataceae
45,Athyriaceae
46,Aulacomniaceae
47,Aytoniaceae
48,Balanopaceae
49,Balanophoraceae
50,Balantiopsidaceae
51,Balsaminaceae
52,Bartramiaceae
53,Basellaceae
54,Begoniaceae
55,Berberidaceae
56,Betulaceae
57,Bignoniaceae
58,Blasiaceae
59,Blechnaceae
60,Blepharostomataceae
61,Boraginaceae
62,Brachytheciaceae
63,Brassicaceae
64,Brevianthaceae
65,Bromeliaceae
66,Bruchiaceae
67,Bryaceae
68,Burmanniaceae
69,Burseraceae
70,Butomaceae
71,Buxaceae
72,Buxbaumiaceae
73,Cabombaceae
74,Cactaceae
75,Calceolariaceae
76,Callicladiaceae
77,Calliergonaceae
78,Calophyllaceae
79,Calycanthaceae
80,Calyceraceae
81,Calymperaceae
82,Calypogeiaceae
83,Campanulaceae
84,Campynemataceae
85,Canellaceae
86,Cannabaceae
87,Cannaceae
88,Capparaceae
89,Caprifoliaceae
90,Cardiopteridaceae
91,Caryophyllaceae
92,Casuarinaceae
93,Catoscopiaceae
94,Celastraceae
95,Cephaloziaceae
96,Cephaloziellaceae
97,Ceratophyllaceae
98,Chloranthaceae
99,Chrysobalanaceae
100,Cistaceae
101,Cleomaceae
102,Clethraceae
103,Cleveaceae
104,Climaciaceae
105,Clusiaceae
106,Colchicaceae
107,Combretaceae
108,Commelinaceae
109,Connaraceae
110,Conocephalaceae
111,Convolvulaceae
112,Coriariaceae
113,Cornaceae
114,Corsiniaceae
115,Corynocarpaceae
116,Costaceae
117,Crassulaceae
118,Cryphaeaceae
119,Cucurbitaceae
120,Cunoniaceae
121,Cupressaceae
122,Cyatheaceae
123,Cycadaceae
124,Cyclanthaceae
125,Cynomoriaceae
126,Cyperaceae
127,Cystopteridaceae
128,Cytinaceae
129,Daltoniaceae
130,Davalliaceae
131,Dendrocerotaceae
132,Dennstaedtiaceae
133,Dichapetalaceae
134,Dicksoniaceae
135,Dicranaceae
136,Dicranellaceae
137,Dilleniaceae
138,Dioscoreaceae
139,Diphysciaceae
140,Disceliaceae
141,Distichiaceae
142,Ditrichaceae
143,Droseraceae
144,Dryopteridaceae
145,Dumortieraceae
146,Ebenaceae
147,Ehretiaceae
148,Elaeagnaceae
149,Elaeocarpaceae
150,Elatinaceae
151,Encalyptaceae
152,Endogemmaceae
153,Entodontaceae
154,Ephedraceae
155,Equisetaceae
156,Ericaceae
157,Eriocaulaceae
158,Erythroxylaceae
159,Escalloniaceae
160,Euphorbiaceae
161,Exormothecaceae
162,Fabaceae
163,Fabroniaceae
164,Fagaceae
165,Fissidentaceae
166,Flexitrichaceae
167,Fontinalaceae
168,Fossombroniaceae
169,Frankeniaceae
170,Frullaniaceae
171,Funariaceae
172,Garryaceae
173,Gentianaceae
174,Geocalycaceae
175,Geraniaceae
176,Gesneriaceae
177,Gigaspermaceae
178,Ginkgoaceae
179,Gleicheniaceae
180,Goebeliellaceae
181,Goodeniaceae
182,Grimmiaceae
183,Grossulariaceae
184,Gunneraceae
185,Gymnomitriaceae
186,Habrodontaceae
187,Haloragaceae
188,Hamamelidaceae
189,Haplomitriaceae
190,Harpanthaceae
191,Hedwigiaceae
192,Heliconiaceae
193,Heliotropiaceae
194,Herbertaceae
195,Hernandiaceae
196,Heterocladiellaceae
197,Hookeriaceae
198,Humiriaceae
199,Hydrangeaceae
200,Hydrocharitaceae
201,Hydrophyllaceae
202,Hygrobiellaceae
203,Hylocomiaceae
204,Hymenolomataceae
205,Hymenophyllaceae
206,Hypericaceae
207,Hypnaceae
208,Hypnodendraceae
209,Hypopterygiaceae
210,Icacinaceae
211,Iridaceae
212,Isoetaceae
213,Ixonanthaceae
214,Jocheniaceae
215,Joinvilleaceae
216,Jubulaceae
217,Juglandaceae
218,Juncaceae
219,Juncaginaceae
220,Jungermanniaceae
221,Lamiaceae
222,Lardizabalaceae
223,Lauraceae
224,Lecythidaceae
225,Lejeuneaceae
226,Lembophyllaceae
227,Lentibulariaceae
228,Lepidoziaceae
229,Leskeaceae
230,Leucobryaceae
231,Leucodontaceae
232,Liliaceae
233,Limnanthaceae
234,Linaceae
235,Linderniaceae
236,Lindsaeaceae
237,Loasaceae
238,Loganiaceae
239,Lomariopsidaceae
240,Lophocoleaceae
241,Lophoziaceae
242,Loranthaceae
243,Lunulariaceae
244,Lycopodiaceae
245,Lygodiaceae
246,Lythraceae
247,Magnoliaceae
248,Malpighiaceae
