CD_NOM,FAMILLE,NOM_VALIDE
188769,Acoraceae,Acorus
80086,Acoraceae,Acorus calamus
188962,Alismataceae,Alisma
81260,Alismataceae,Alisma gramineum
81280,Alismataceae,Alisma x rhicnocarpum
81263,Alismataceae,Alisma lanceolatum
81272,Alismataceae,Alisma plantago-aquatica
189723,Alismataceae,Baldellia
85486,Alismataceae,Baldellia ranunculoides
718909,Alismataceae,Baldellia repens
718211,Alismataceae,Baldellia repens subsp. cavanillesii
190177,Alismataceae,Caldesia
87417,Alismataceae,Caldesia parnassifolia
923783,Alismataceae,Damasonium
94388,Alismataceae,Damasonium alisma
94389,Alismataceae,Damasonium bourgaei
94392,Alismataceae,Damasonium polyspermum
631035,Alismataceae,Helanthium zombiense
194317,Alismataceae,Luronium
106807,Alismataceae,Luronium natans
197322,Alismataceae,Sagittaria
119850,Alismataceae,Sagittaria graminea
159961,Alismataceae,Sagittaria lancifolia
119854,Alismataceae,Sagittaria latifolia
119860,Alismataceae,Sagittaria sagittifolia
189349,Aponogetonaceae,Aponogeton
83232,Aponogetonaceae,Aponogeton distachyos
189500,Araceae,Arum
84100,Araceae,Arum cylindraceum
611708,Araceae,Arum italicum var. neglectum x Arum maculatum
611707,Araceae,Arum italicum x Arum maculatum
84110,Araceae,Arum italicum
84131,Araceae,Arum x sooi
84112,Araceae,Arum maculatum
84120,Araceae,Arum pictum
162005,Araceae,Arum pictum subsp. pictum
191946,Araceae,Dracunculus
95425,Araceae,Dracunculus vulgaris
193139,Araceae,Helicodiceros
101107,Araceae,Helicodiceros muscivorus
189038,Araceae,Ambrosina
82095,Araceae,Ambrosina bassii
923602,Araceae,Arisarum
83755,Araceae,Arisarum vulgare
731620,Araceae,Xanthosoma conspurcatum
911678,Araceae,Xanthosoma cremersii
731622,Araceae,Xanthosoma granvillei
911681,Araceae,Xanthosoma muluwataya
911248,Araceae,Xanthosoma nodosum
911679,Araceae,Xanthosoma sinnamaryense
911680,Araceae,Xanthosoma trinitense
190187,Araceae,Calla
