LEVEL,LB_CODE,LB_HAB_FR,CD_HAB,EUNIS
A,A,Habitats marins,79,A-Habitats marins
A,A1,Roche et autres substrats durs intertidaux,579,A1-Roche et autres substrats durs intertidaux
A,A1.1,Roche intertidale sous fort hydrodynamisme,1591,A1.1-Roche intertidale sous fort hydrodynamisme
A,A1.11,Biocénoses à moules et/ou à balanes,4664,A1.11-Biocénoses à moules et/ou à balanes
A,A1.111,<em>Mytilus edulis</em> et balanes sur roche médiolittorale très exposée,10326,A1.111-<em>Mytilus edulis</em> et balanes sur roche médiolittorale très exposée
A,A1.112,<em>Chthamalus</em> spp. sur roche exposée du médiolittoral supérieur,10327,A1.112-<em>Chthamalus</em> spp. sur roche exposée du médiolittoral supérieur
A,A1.1121,<em>Chthamalus montagui</em> et <em>Chthamalus stellatus</em> sur roche exposée du médiolittoral supérieur,17356,A1.1121-<em>Chthamalus montagui</em> et <em>Chthamalus stellatus</em> sur roche exposée du médiolittoral supérieur
A,A1.1122,<em>Chthamalus</em> spp. et <em>Lichina pygmaea</em> sur roche escarpée et exposée du médiolittoral supérieur,17357,A1.1122-<em>Chthamalus</em> spp. et <em>Lichina pygmaea</em> sur roche escarpée et exposée du médiolittoral supérieur
A,A1.113,<em>Semibalanus balanoides</em> sur roche exposée à modérément exposée ou sur paroi rocheuse verticale abritée médiolittorale,10328,A1.113-<em>Semibalanus balanoides</em> sur roche exposée à modérément exposée ou sur paroi rocheuse verticale abritée médiolittorale
A,A1.1131,"<em>Semibalanus balanoides</em>, <em>Patella vulgata</em> et <em>Littorina</em> spp. sur roche exposée à modérément exposée ou sur paroi rocheuse verticale abritée médiolittorale",17358,"A1.1131-<em>Semibalanus balanoides</em>, <em>Patella vulgata</em> et <em>Littorina</em> spp. sur roche exposée à modérément exposée ou sur paroi rocheuse verticale abritée médiolittorale"
A,A1.1132,"<em>Semibalanus balanoides</em>, <em>Fucus vesiculosus</em> et algues rouges sur roche médiolittorale exposée à modérément exposée",17359,"A1.1132-<em>Semibalanus balanoides</em>, <em>Fucus vesiculosus</em> et algues rouges sur roche médiolittorale exposée à modérément exposée"
A,A1.1133,<em>Semibalanus balanoides</em> et <em>Littorina</em> spp. sur blocs et galets médiolittoraux exposés à modérément exposés,17360,A1.1133-<em>Semibalanus balanoides</em> et <em>Littorina</em> spp. sur blocs et galets médiolittoraux exposés à modérément exposés
A,A1.12,Biocénoses à fucales et/ou à algues rouges résistantes,4665,A1.12-Biocénoses à fucales et/ou à algues rouges résistantes
A,A1.121,<em>Fucus distichus</em> et <em>Fucus spiralis</em> sur roche extrêmement exposée du médiolittoral supérieur,10324,A1.121-<em>Fucus distichus</em> et <em>Fucus spiralis</em> sur roche extrêmement exposée du médiolittoral supérieur
A,A1.122,<em>Corallina officinalis</em> sur roche exposée à modérément exposée du médiolittoral inférieur,10325,A1.122-<em>Corallina officinalis</em> sur roche exposée à modérément exposée du médiolittoral inférieur
A,A1.1221,<em>Corallina officinalis</em> et <em>Mastocarpus stellatus</em> sur roche exposée à modérément exposée du médiolittoral inférieur,17354,A1.1221-<em>Corallina officinalis</em> et <em>Mastocarpus stellatus</em> sur roche exposée à modérément exposée du médiolittoral inférieur
